MONA_CD,HG_NM,HJ_NM,ENG_NM,BTH_GBN_NM,BTH_DATE,SEX_GBN_NM,REELE_GBN_NM,UNITS,UNIT_CD,UNIT_NM,POLY_NM,ORIG_NM,ELECT_GBN_NM
7W35098M,윤준호,尹俊晧,YUN JUNE HO,양,1967-06-07,남,초선,제20대,100020,제20대,더불어민주당,부산 해운대구을,지역구
8X15119P,윤한홍,尹漢洪,YOON HANHONG,양,1962-11-01,남,재선,"제20대, 제21대",100020,제20대,새누리당,경남 창원시마산회원구,지역구
M0A1658U,윤호중,尹昊重,YUN HOJUNG,양,1963-03-27,남,4선,"제17대, 제19대, 제20대, 제21대",100020,제20대,더불어민주당,경기 구리시,지역구
O7R5461J,윤후덕,尹厚德,YOON HUDUK,양,1957-01-09,남,3선,"제19대, 제20대, 제21대",100020,제20대,더불어민주당,경기 파주시갑,지역구
I7R13867,이개호,李介昊,LEE KAIHO,양,1959-06-23,남,3선,"제19대, 제20대, 제21대",100020,제20대,더불어민주당,전남 담양군함평군영광군장성군,지역구
0135473I,이군현,李君賢,LEE KOONHYON,양,1952-03-12,남,4선,"제17대, 제18대, 제19대, 제20대",100020,제20대,자유한국당,경남 통영시고성군,지역구
9FL71418,이규희,李揆熙,LEE KYU HEE,양,1961-06-27,남,초선,제20대,100020,제20대,더불어민주당,충남 천안시갑,지역구
OQO34632,이동섭,李銅燮,LEE DONGSUP,음,1956-11-07,남,초선,제20대,100020,제20대,민생당,비례대표,비례대표
OSV9142K,이만희,李晩熙,LEE MANHEE,양,1963-12-11,남,재선,"제20대, 제21대",100020,제20대,새누리당,경북 영천시청도군,지역구
6YT83269,이명수,李明洙,LEE MYOUNGSU,양,1955-02-11,남,4선,"제18대, 제19대, 제20대, 제21대",100020,제20대,새누리당,충남 아산시갑,지역구
JWW6081H,이상돈,李相敦,LEE SANGDON,양,1951-12-04,남,초선,제20대,100020,제20대,민생당,비례대표,비례대표
ZYH1940A,이상민,李相珉,LEE SANGMIN,양,1958-01-22,남,5선,"제17대, 제18대, 제19대, 제20대, 제21대",100020,제20대,더불어민주당,대전 유성구을,지역구
WVU2479T,이상헌,李相憲,LEE SANGHEON,양,1954-07-10,남,재선,"제20대, 제21대",100020,제20대,더불어민주당,울산 북구,지역구
GMK1374L,이석현,李錫玄,LEE SEOKHYUN,음,1951-03-16,남,6선,"제14대, 제15대, 제17대, 제18대, 제19대, 제20대",100020,제20대,더불어민주당,경기 안양시동안구갑,지역구
R7N74579,이수혁,李秀赫,LEE SOOHYUCK,양,1949-01-04,남,초선,제20대,100020,제20대,더불어민주당,비례대표,비례대표
S9U45255,이양수,李亮壽,LEE YANGSOO,양,1967-08-15,남,재선,"제20대, 제21대",100020,제20대,새누리당,강원 속초시고성군양양군,지역구
JG77046J,이언주,李彦周,LEE UNJU,양,1972-11-08,여,재선,"제19대, 제20대",100020,제20대,미래통합당,경기 광명시을,지역구
8WV8289I,이완영,李完永,YI WANYOUNG,음,1957-07-07,남,재선,"제19대, 제20대",100020,제20대,자유한국당,경북 고령군성주군칠곡군,지역구
ABT2266H,이용득,李龍得,LEE YONGDEUK,양,1953-09-13,남,초선,제20대,100020,제20대,더불어민주당,비례대표,비례대표
X9Y63914,이용주,李勇周,LEE YONGJU,양,1968-06-14,남,초선,제20대,100020,제20대,무소속,전남 여수시갑,지역구
DBA1057Z,이용호,李容鎬,LEE YONGHO,양,1960-03-20,남,재선,"제20대, 제21대",100020,제20대,국민의당,전북 남원시임실군순창군,지역구
0582116P,이우현,李愚鉉,LEE WOOHYUN,양,1957-01-03,남,재선,"제19대, 제20대",100020,제20대,자유한국당,경기 용인시갑,지역구
16D7652C,이원욱,李元旭,LEE WONWOOK,양,1963-03-20,남,3선,"제19대, 제20대, 제21대",100020,제20대,더불어민주당,경기 화성시을,지역구
DVD2735W,이은권,李殷權,LEE EUNKWON,음,1957-02-25,남,초선,제20대,100020,제20대,미래통합당,대전 중구,지역구
IQN7588X,이은재,李恩宰,LEE EUNJAE,양,1952-03-27,여,재선,"제18대, 제20대",100020,제20대,무소속,서울 강남구병,지역구
3ZR4438W,이인영,李仁榮,LEE INYOUNG,양,1964-06-28,남,4선,"제17대, 제19대, 제20대, 제21대",100020,제20대,더불어민주당,서울 구로구갑,지역구
2SE64657,이장우,李莊雨,LEE JANGWOO,양,1965-02-10,남,재선,"제19대, 제20대",100020,제20대,미래통합당,대전 동구,지역구
UQ282145,이재정,李在汀,LEE JAEJUNG,양,1974-08-02,여,재선,"제20대, 제21대",100020,제20대,더불어민주당,비례대표,비례대표
IUE5875N,이정미,李貞味,LEE JEONGMI,양,1966-02-07,여,초선,제20대,100020,제20대,정의당,비례대표,비례대표
7AN97172,이정현,李貞鉉,LEE JUNGHYUN,음,1958-09-01,남,3선,"제18대, 제19대, 제20대",100020,제20대,무소속,전남 순천시,지역구
WDR7061Y,이종걸,李鍾杰,LEE JONGKUL,양,1957-05-22,남,5선,"제16대, 제17대, 제18대, 제19대, 제20대",100020,제20대,더불어민주당,경기 안양시만안구,지역구
2XI97689,이종구,李鍾九,LEE JONGKOO,양,1950-09-22,남,3선,"제17대, 제18대, 제20대",100020,제20대,미래통합당,서울 강남구갑,지역구
11N7618M,이종명,李鍾明,LEE JONGMYEONG,음,1959-08-08,남,초선,제20대,100020,제20대,미래한국당,비례대표,비례대표
HSW1214Q,이종배,李鍾培,LEE JONGBAE,양,1957-05-30,남,3선,"제19대, 제20대, 제21대",100020,제20대,새누리당,충북 충주시,지역구
8IN46764,이주영,李柱榮,LEE JUYOUNG,양,1951-09-30,남,5선,"제16대, 제17대, 제18대, 제19대, 제20대",100020,제20대,미래통합당,경남 창원시마산합포구,지역구
0ID22746,이진복,李珍福,LEE JINBOK,음,1957-10-18,남,3선,"제18대, 제19대, 제20대",100020,제20대,미래통합당,부산 동래구,지역구
BWD92364,이찬열,李燦烈,LEE CHANYEOL,양,1959-07-15,남,3선,"제18대, 제19대, 제20대",100020,제20대,미래통합당,경기 수원시갑,지역구
WDS6044S,이채익,李埰益,LEE CHEIK,양,1955-05-27,남,3선,"제19대, 제20대, 제21대",100020,제20대,새누리당,울산 남구갑,지역구
TZP9391O,이철규,李喆圭,LEE CHULGYU,양,1957-09-20,남,재선,"제20대, 제21대",100020,제20대,무소속,강원 동해시삼척시,지역구
NS06841K,이철우,李喆雨,LEE CHEOLWOO,양,1955-08-15,남,3선,"제18대, 제19대, 제20대",100020,제20대,자유한국당,경북 김천시,지역구
LSK9789D,이철희,李哲熙,RHEE CHEOLHEE,양,1966-03-29,남,초선,제20대,100020,제20대,더불어민주당,비례대표,비례대표
V2R7430Z,이춘석,李春錫,LEE CHOONSUAK,음,1963-03-07,남,3선,"제18대, 제19대, 제20대",100020,제20대,더불어민주당,전북 익산시갑,지역구
QTW6852F,이태규,李泰珪,LEE TAEKYU,양,1964-03-22,남,재선,"제20대, 제21대",100020,제20대,국민의당,비례대표,비례대표
