MONA_CD,HG_NM,HJ_NM,ENG_NM,BTH_GBN_NM,BTH_DATE,SEX_GBN_NM,REELE_GBN_NM,UNITS,UNIT_CD,UNIT_NM,POLY_NM,ORIG_NM,ELECT_GBN_NM
XQ98168F,강길부,姜吉夫,KANG GHILBOO,양,1942-06-05,남,4선,"제17대, 제18대, 제19대, 제20대",100020,제20대,무소속,울산 울주군,지역구
60490713,강병원,姜炳遠,KANG BYUNGWON,양,1971-07-09,남,재선,"제20대, 제21대",100020,제20대,더불어민주당,서울 은평구을,지역구
IH436704,강석진,姜錫振,KANG SEOGJIN,양,1959-12-07,남,초선,제20대,100020,제20대,미래통합당,경남 산청군함양군거창군합천군,지역구
8I61593E,강석호,姜碩鎬,KANG SEOKHO,양,1955-12-03,남,3선,"제18대, 제19대, 제20대",100020,제20대,미래통합당,경북 영양군영덕군봉화군울진군,지역구
TOU1222X,강창일,姜昌一,KANG CHANGIL,양,1952-01-28,남,4선,"제17대, 제18대, 제19대, 제20대",100020,제20대,더불어민주당,제주 제주시갑,지역구
9WQ7845Z,강효상,姜孝祥,KHANG HYOSHANG,양,1961-03-01,남,초선,제20대,100020,제20대,미래통합당,비례대표,비례대표
TRE2429O,강훈식,姜勳植,KANG HOONSIK,양,1973-10-24,남,재선,"제20대, 제21대",100020,제20대,더불어민주당,충남 아산시을,지역구
23D73143,경대수,慶大秀,KYEONG DAESOO,양,1958-03-18,남,재선,"제19대, 제20대",100020,제20대,미래통합당,충북 증평군진천군음성군,지역구
6V37131U,고용진,高榕진,KOH YONGJIN,양,1964-08-06,남,재선,"제20대, 제21대",100020,제20대,더불어민주당,서울 노원구갑,지역구
Q6A9034Q,곽대훈,郭大勳,KWAK DAEHOON,양,1955-06-05,남,초선,제20대,100020,제20대,무소속,대구 달서구갑,지역구
MHK9919B,곽상도,郭尙道,KWAK SANGDO,양,1959-12-23,남,재선,"제20대, 제21대",100020,제20대,새누리당,대구 중구남구,지역구
RH454994,권미혁,權美赫,KWON MIHYUK,음,1959-01-10,여,초선,제20대,100020,제20대,더불어민주당,비례대표,지역구
O149331C,권석창,權錫昌,KWON SOKCHANG,양,1966-08-06,남,초선,제20대,100020,제20대,자유한국당,충북 제천시단양군,지역구
GDG1847Z,권성동,權性東,KWEON SEONGDONG,양,1960-04-29,남,4선,"제18대, 제19대, 제20대, 제21대",100020,제20대,새누리당,강원 강릉시,지역구
YKW37422,권은희,權垠希,KWON EUNHEE,양,1974-02-15,여,3선,"제19대, 제20대, 제21대",100020,제20대,국민의당,광주 광산구을,지역구
C7E79345,권칠승,權七勝,KWON CHILSEUNG,양,1965-11-18,남,재선,"제20대, 제21대",100020,제20대,더불어민주당,경기 화성시병,지역구
QZR19240,금태섭,琴泰燮,KEUM TAESUP,양,1967-09-29,남,초선,제20대,100020,제20대,더불어민주당,서울 강서구갑,지역구
B7R2742J,기동민,奇東旻,KI DONGMIN,양,1966-02-23,남,재선,"제20대, 제21대",100020,제20대,더불어민주당,서울 성북구을,지역구
PP08673W,김경수,金慶洙,KIM KYOUNGSOO,양,1967-12-01,남,초선,제20대,100020,제20대,더불어민주당,경남 김해시을,지역구
YVN3115U,김경진,金京鎭,KIM KYUNGJIN,양,1966-07-14,남,초선,제20대,100020,제20대,무소속,광주 북구갑,지역구
ZKU88693,김경협,金炅俠,KIM KYUNGHYUP,음,1962-11-07,남,3선,"제19대, 제20대, 제21대",100020,제20대,더불어민주당,경기 부천시원미구갑,지역구
W168182V,김관영,金寬永,KIM KWANYOUNG,양,1969-11-15,남,재선,"제19대, 제20대",100020,제20대,무소속,전북 군산시,지역구
MGE7194M,김광림,金光琳,KIM GWANGLIM,양,1948-04-28,남,3선,"제18대, 제19대, 제20대",100020,제20대,미래통합당,경북 안동시,지역구
3NM5411H,김광수,金光守,KIM KWANGSOO,음,1958-06-11,남,초선,제20대,100020,제20대,무소속,전북 전주시갑,지역구
OC037566,김규환,金奎煥,KIM GYUHWAN,양,1956-06-18,남,초선,제20대,100020,제20대,미래한국당,비례대표,비례대표
NNP30098,김기선,金起善,KIM KISUN,음,1952-10-29,남,재선,"제19대, 제20대",100020,제20대,미래한국당,강원 원주시갑,지역구
LH97552Q,김도읍,金度邑,KIM DOEUP,양,1964-07-06,남,3선,"제19대, 제20대, 제21대",100020,제20대,새누리당,부산 북구강서구을,지역구
DCR84445,김동철,金東喆,KIM DONGCHEOL,음,1955-06-30,남,4선,"제17대, 제18대, 제19대, 제20대",100020,제20대,민생당,광주 광산구갑,지역구
CI15627C,김두관,金斗官,KIM DUKWAN,양,1959-04-10,남,재선,"제20대, 제21대",100020,제20대,더불어민주당,경기 김포시갑,지역구
9EA39580,김명연,金明淵,KIM MYUNGYEON,음,1964-02-28,남,재선,"제19대, 제20대",100020,제20대,미래통합당,경기 안산시단원구갑,지역구
SNJ6318D,김무성,金武星,KIM MOOSUNG,양,1951-09-20,남,6선,"제15대, 제16대, 제17대, 제18대, 제19대, 제20대",100020,제20대,미래통합당,부산 중구영도구,지역구
NTT8182Q,김민기,金敏基,KIM MINKI,양,1966-04-28,남,3선,"제19대, 제20대, 제21대",100020,제20대,더불어민주당,경기 용인시을,지역구
QB390802,김병관,金炳官,KIM BYOUNGGWAN,양,1973-01-15,남,초선,제20대,100020,제20대,더불어민주당,경기 성남시분당구갑,지역구
8Q88373R,김병기,金炳基,KIM BYUNGKEE,양,1961-07-10,남,재선,"제20대, 제21대",100020,제20대,더불어민주당,서울 동작구갑,지역구
GFF1986K,김병욱,金炳旭,KIM BYUNGWOOK,음,1965-04-15,남,재선,"제20대, 제21대",100020,제20대,더불어민주당,경기 성남시분당구을,지역구
UIZ3103R,김부겸,金富謙,KIM BOOKYUM,양,1958-01-21,남,4선,"제16대, 제17대, 제18대, 제20대",100020,제20대,더불어민주당,대구 수성구갑,지역구
ZL32287Z,김삼화,金三和,KIM SAMHWA,양,1962-08-01,여,초선,제20대,100020,제20대,민생당,비례대표,비례대표
1Y73132H,김상훈,金相勳,KIM SANGHOON,양,1963-01-25,남,3선,"제19대, 제20대, 제21대",100020,제20대,새누리당,대구 서구,지역구
UGH6481E,김상희,金相姬,KIM SANGHEE,양,1954-05-18,여,4선,"제18대, 제19대, 제20대, 제21대",100020,제20대,더불어민주당,경기 부천시소사구,지역구
ZYP7962W,김석기,金碩基,KIM SEOKKI,양,1954-08-06,남,재선,"제20대, 제21대",100020,제20대,새누리당,경북 경주시,지역구
DTG4846A,김선동,金善東,KIM SEONDONG,양,1963-10-09,남,재선,"제18대, 제20대",100020,제20대,미래통합당,서울 도봉구을,지역구
GXT11570,김성수,金聖洙,KIM SUNGSOO,양,1956-09-09,남,초선,제20대,100020,제20대,더불어민주당,비례대표,비례대표
RCF90176,김성식,金成植,KIM SONGSIK,양,1958-12-16,남,재선,"제18대, 제20대",100020,제20대,무소속,서울 관악구갑,지역구
9D939735,김성원,金成願,KIM SUNGWON,양,1973-10-15,남,재선,"제20대, 제21대",100020,제20대,새누리당,경기 동두천시연천군,지역구
PAB29217,김성찬,金盛贊,KIM SUNGCHAN,양,1954-05-07,남,재선,"제19대, 제20대",100020,제20대,미래한국당,경남 창원시진해구,지역구
BQS2021C,김성태,金聖泰,KIM SUNGTAE,음,1958-05-23,남,3선,"제18대, 제19대, 제20대",100020,제20대,미래통합당,서울 강서구을,지역구
9UW75767,김성태,金成泰,KIM SEANGTAE,음,1954-07-24,남,초선,제20대,100020,제20대,미래통합당,비례대표,비례대표
XSP20229,김성환,金星煥,KIM SUNGWHAN,양,1965-10-15,남,재선,"제20대, 제21대",100020,제20대,더불어민주당,서울 노원구병,지역구
2WQ6656P,김세연,金世淵,KIM SEYEON,양,1972-07-15,남,3선,"제18대, 제19대, 제20대",100020,제20대,미래통합당,부산 금정구,지역구
5K343700,김수민,金秀玟,KIM SUMIN,양,1986-12-25,여,초선,제20대,100020,제20대,민생당,비례대표,비례대표
7KD2317D,김순례,金順禮,KIM SOONRYE,양,1955-06-27,여,초선,제20대,100020,제20대,미래한국당,비례대표,비례대표
8WC7967F,김승희,金承禧,KIM SEUNGHEE,양,1954-02-06,여,초선,제20대,100020,제20대,미래한국당,비례대표,비례대표
PLR62452,김영우,金榮宇,KIM YOUNGWOO,양,1967-01-20,남,3선,"제18대, 제19대, 제20대",100020,제20대,미래통합당,경기 포천시가평군,지역구
0W194007,김영주,金榮珠,KIM YOUNGJOO,양,1955-07-27,여,4선,"제17대, 제19대, 제20대, 제21대",100020,제20대,더불어민주당,서울 영등포구갑,지역구
5765663F,김영진,金榮鎭,KIM YOUNGJIN,양,1967-09-10,남,재선,"제20대, 제21대",100020,제20대,더불어민주당,경기 수원시병,지역구
TWL5801D,김영춘,金榮春,KIM YOUNGCHOON,양,1962-02-05,남,3선,"제16대, 제17대, 제20대",100020,제20대,더불어민주당,부산 부산진구갑,지역구
7BM2933Y,김영호,金映豪,KIM YOUNGHO,양,1967-09-13,남,재선,"제20대, 제21대",100020,제20대,더불어민주당,서울 서대문구을,지역구
AMF4093D,김용태,金容兌,KIM YONGTAE,양,1968-03-26,남,3선,"제18대, 제19대, 제20대",100020,제20대,미래통합당,서울 양천구을,지역구
M3Z17237,김재경,金在庚,KIM JAEKYUNG,음,1961-10-10,남,4선,"제17대, 제18대, 제19대, 제20대",100020,제20대,미래통합당,경남 진주시을,지역구
QZU9232M,김재원,金在原,KIM JAEWON,양,1964-12-20,남,3선,"제17대, 제19대, 제20대",100020,제20대,미래통합당,경북 상주시군위군의성군청송군,지역구
6RP89579,김정우,金政祐,KIM CHUNGWOO,양,1968-06-18,남,초선,제20대,100020,제20대,더불어민주당,경기 군포시갑,지역구
E1J8836Y,김정재,金汀才,KIM JUNGJAE,양,1966-02-15,여,재선,"제20대, 제21대",100020,제20대,새누리당,경북 포항시북구,지역구
9LD2641Q,김정호,金禎鎬,KIM JUNGHO,양,1960-06-18,남,재선,"제20대, 제21대",100020,제20대,더불어민주당,경남 김해시을,지역구
64G6894C,김정훈,金正薰,KIM JUNGHOON,양,1957-11-03,남,4선,"제17대, 제18대, 제19대, 제20대",100020,제20대,미래한국당,부산 남구갑,지역구
I0F2578R,김종대,金鍾大,KIM JONGDAE,양,1966-11-13,남,초선,제20대,100020,제20대,정의당,비례대표,비례대표
M2Q9024I,김종민,金鐘民,KIM JONGMIN,양,1964-05-12,남,재선,"제20대, 제21대",100020,제20대,더불어민주당,충남 논산시계룡시금산군,지역구
06X3845L,김종석,金鍾奭,KIM JONGSEOK,양,1955-08-01,남,초선,제20대,100020,제20대,미래한국당,비례대표,비례대표
E5N8503B,김종인,金鍾仁,KIM CHONGIN,양,1940-07-11,남,5선,"제11대, 제12대, 제14대, 제17대, 제20대",100020,제20대,더불어민주당,비례대표,비례대표
K1Y45873,김종태,金鍾泰,KIM JONGTAE,음,1949-03-16,남,재선,"제19대, 제20대",100020,제20대,새누리당,경북 상주시군위군의성군청송군,지역구
HTK5293K,김종회,金鍾懷,KIM JONGHOE,양,1965-08-24,남,초선,제20대,100020,제20대,무소속,전북 김제시부안군,지역구
A935446Z,김종훈,金鍾勳,KIM JONGHOON,양,1964-07-03,남,초선,제20대,100020,제20대,민중당,울산 동구,지역구
SY09851R,김중로,金中魯,KIM JOONGRO,양,1950-10-27,남,초선,제20대,100020,제20대,민생당,비례대표,비례대표
N6C1899K,김진태,金鎭台,KIM JINTAE,양,1964-10-13,남,재선,"제19대, 제20대",100020,제20대,미래통합당,강원 춘천시,지역구
Q9H5708M,김진표,金振杓,KIM JINPYO,음,1947-05-04,남,5선,"제17대, 제18대, 제19대, 제20대, 제21대",100020,제20대,더불어민주당,경기 수원시무,지역구
1MU99298,김철민,金哲玟,KIM CHEOLMIN,양,1957-02-15,남,재선,"제20대, 제21대",100020,제20대,더불어민주당,경기 안산시상록구을,지역구
1WE5693J,김태년,金太年,KIM TAENYEON,양,1965-03-20,남,4선,"제17대, 제19대, 제20대, 제21대",100020,제20대,더불어민주당,경기 성남시수정구,지역구
TVF3669B,김태흠,金泰欽,KIM TAEHEUM,음,1963-01-11,남,3선,"제19대, 제20대, 제21대",100020,제20대,새누리당,충남 보령시서천군,지역구
F5U2979W,김학용,金學容,KIM HACKYONG,음,1961-12-10,남,4선,"제18대, 제19대, 제20대, 제21대",100020,제20대,새누리당,경기 안성시,지역구
09I2323E,김한정,金漢正,KIM HANJUNG,양,1963-09-06,남,재선,"제20대, 제21대",100020,제20대,더불어민주당,경기 남양주시을,지역구
YBM9779M,김한표,金漢杓,KIM HANPYO,음,1954-08-24,남,재선,"제19대, 제20대",100020,제20대,미래통합당,경남 거제시,지역구
6QU2958D,김해영,金海永,KIM HAEYOUNG,음,1977-01-02,남,초선,제20대,100020,제20대,더불어민주당,부산 연제구,지역구
MPV9321A,김현권,金玄權,KIM HYUNKWON,음,1963-04-06,남,초선,제20대,100020,제20대,더불어민주당,비례대표,비례대표
9XB6464U,김현미,金賢美,KIM HYUNMEE,양,1962-11-29,여,3선,"제17대, 제19대, 제20대",100020,제20대,더불어민주당,경기 고양시정,지역구
CXA6162I,김현아,金炫我,KIM HYUNAH,양,1969-08-19,여,초선,제20대,100020,제20대,미래통합당,비례대표,비례대표
SLW27496,나경원,羅卿瑗,NA KYUNGWON,양,1963-12-06,여,4선,"제17대, 제18대, 제19대, 제20대",100020,제20대,미래통합당,서울 동작구을,지역구
04T3751T,남인순,南仁順,NAM INSOON,음,1958-11-05,여,3선,"제19대, 제20대, 제21대",100020,제20대,더불어민주당,서울 송파구병,지역구
0827740Q,노웅래,盧雄來,NOH WOONGRAE,음,1957-08-03,남,4선,"제17대, 제19대, 제20대, 제21대",100020,제20대,더불어민주당,서울 마포구갑,지역구
GN240959,노회찬,魯會燦,ROH HOECHAN,양,1956-08-31,남,3선,"제17대, 제19대, 제20대",100020,제20대,정의당,경남 창원시성산구,지역구
J2O8643H,도종환,都鍾煥,,양,1955-09-27,남,3선,"제19대, 제20대, 제21대",100020,제20대,더불어민주당,충북 청주시흥덕구,지역구
FJK3396E,맹성규,孟聖奎,MAENG SUNGKYU,양,1962-04-05,남,재선,"제20대, 제21대",100020,제20대,더불어민주당,인천 남동구갑,지역구
TGL10010,문미옥,文美玉,MUN MIOCK,양,1968-12-20,여,초선,제20대,100020,제20대,더불어민주당,비례대표,비례대표
WV97281W,문진국,文鎭國,MOON JINKOOK,양,1949-02-01,남,초선,제20대,100020,제20대,미래한국당,비례대표,비례대표
IYD4143Y,문희상,文喜相,MOON HEESANG,음,1945-03-03,남,6선,"제14대, 제16대, 제17대, 제18대, 제19대, 제20대",100020,제20대,무소속,경기 의정부시갑,지역구
Y3E8697I,민경욱,閔庚旭,MIN KYUNGWOOK,양,1963-06-17,남,초선,제20대,100020,제20대,미래통합당,인천 연수구을,지역구
39P2522W,민병두,閔丙두,MIN BYUNGDOO,음,1958-06-10,남,3선,"제17대, 제19대, 제20대",100020,제20대,무소속,서울 동대문구을,지역구
O6D8329R,민홍철,閔洪喆,MIN HONGCHUL,음,1961-04-18,남,3선,"제19대, 제20대, 제21대",100020,제20대,더불어민주당,경남 김해시갑,지역구
JMD3241I,박경미,朴炅美,PARK KYUNGMEE,양,1965-10-15,여,초선,제20대,100020,제20대,더불어민주당,비례대표,비례대표
K3W33496,박광온,朴洸瑥,PARK KWANGON,음,1957-03-26,남,3선,"제19대, 제20대, 제21대",100020,제20대,더불어민주당,경기 수원시정,지역구
24E9427D,박남춘,朴南春,PARK NAMCHOON,양,1958-07-02,남,재선,"제19대, 제20대",100020,제20대,더불어민주당,인천 남동구갑,지역구
W4X85128,박대출,朴大出,PARK DAECHUL,양,1961-03-18,남,3선,"제19대, 제20대, 제21대",100020,제20대,새누리당,경남 진주시갑,지역구
N4R2421C,박덕흠,朴德欽,PARK DUKHYUM,양,1953-10-18,남,3선,"제19대, 제20대, 제21대",100020,제20대,새누리당,충북 보은군옥천군영동군괴산군,지역구
EUR98126,박맹우,朴孟雨,PARK MAENGWOO,양,1951-12-06,남,재선,"제19대, 제20대",100020,제20대,미래한국당,울산 남구을,지역구
OTE19384,박명재,朴明在,PARK MYUNGJAE,양,1947-07-05,남,재선,"제19대, 제20대",100020,제20대,미래통합당,경북 포항시남구울릉군,지역구
7R156073,박범계,朴範界,PARK BEOMKYE,양,1963-04-27,남,3선,"제19대, 제20대, 제21대",100020,제20대,더불어민주당,대전 서구을,지역구
BLC8630L,박병석,朴炳錫,PARK BYEONGSEUG,음,1952-01-25,남,6선,"제16대, 제17대, 제18대, 제19대, 제20대, 제21대",100020,제20대,더불어민주당,대전 서구갑,지역구
MC32279F,박선숙,朴仙淑,PARK SUNSOOK,양,1960-12-01,여,재선,"제18대, 제20대",100020,제20대,민생당,비례대표,비례대표
DAN6731C,박성중,朴成重,PARK SUNGJOONG,양,1958-08-01,남,재선,"제20대, 제21대",100020,제20대,새누리당,서울 서초구을,지역구
YLM92014,박순자,朴順子,PARK SOONJA,양,1958-10-12,여,3선,"제17대, 제18대, 제20대",100020,제20대,미래통합당,경기 안산시단원구을,지역구
S8431719,박영선,朴映宣,PARK YOUNGSUN,양,1960-01-22,여,4선,"제17대, 제18대, 제19대, 제20대",100020,제20대,더불어민주당,서울 구로구을,지역구
D0C85236,박완수,朴完洙,PARK WANSU,음,1955-08-26,남,재선,"제20대, 제21대",100020,제20대,새누리당,경남 창원시의창구,지역구
A3H7195R,박완주,朴完柱,PARK WAN JOO,양,1966-11-10,남,3선,"제19대, 제20대, 제21대",100020,제20대,더불어민주당,충남 천안시을,지역구
PEP6922S,박용진,朴用鎭,PARK YONGJIN,양,1971-04-17,남,재선,"제20대, 제21대",100020,제20대,더불어민주당,서울 강북구을,지역구
IQ54138I,박인숙,朴仁淑,PARK INSOOK,양,1948-11-10,여,재선,"제19대, 제20대",100020,제20대,미래통합당,서울 송파구갑,지역구
QUO78839,박재호,朴在昊,PARK JAEHO,음,1959-02-13,남,재선,"제20대, 제21대",100020,제20대,더불어민주당,부산 남구을,지역구
4019850M,박정,朴釘,PARK JEUNG,양,1962-11-19,남,재선,"제20대, 제21대",100020,제20대,더불어민주당,경기 파주시을,지역구
6AU2417B,박주민,朴柱民,PARK JUMIN,양,1973-11-21,남,재선,"제20대, 제21대",100020,제20대,더불어민주당,서울 은평구갑,지역구
XT18076X,박주선,朴柱宣,PARK JOOSUN,음,1949-07-23,남,4선,"제16대, 제18대, 제19대, 제20대",100020,제20대,민생당,광주 동구남구을,지역구
UDB4825U,박주현,朴珠賢,PARK JOOHYUN,양,1963-04-11,여,초선,제20대,100020,제20대,민생당,비례대표,비례대표
8EL9225R,박준영,朴晙瑩,PARK JOONYUNG,음,1946-10-21,남,초선,제20대,100020,제20대,민주평화당,전남 영암군무안군신안군,지역구
8BF5855P,박지원,朴智元,PARK JIEWON,양,1942-06-05,남,4선,"제14대, 제18대, 제19대, 제20대",100020,제20대,민생당,전남 목포시,지역구
BT62420K,박찬대,朴贊大,PARK CHANDAE,양,1967-05-10,남,재선,"제20대, 제21대",100020,제20대,더불어민주당,인천 연수구갑,지역구
8T51904N,박찬우,朴贊佑,PARK CHANWOO,양,1959-04-15,남,초선,제20대,100020,제20대,자유한국당,충남 천안시갑,지역구
S824682L,박홍근,朴洪根,PARK HONGKEUN,음,1969-10-08,남,3선,"제19대, 제20대, 제21대",100020,제20대,더불어민주당,서울 중랑구을,지역구
9CR4440H,배덕광,裵德光,BAE DUKKWANG,양,1948-06-22,남,재선,"제19대, 제20대",100020,제20대,자유한국당,부산 해운대구을,지역구
O0G3169T,백승주,白承周,BAEK SEUNGJOO,양,1961-03-20,남,초선,제20대,100020,제20대,미래한국당,경북 구미시갑,지역구
8DK7238W,백재현,白在鉉,BAEK JAEHYUN,양,1951-07-04,남,3선,"제18대, 제19대, 제20대",100020,제20대,더불어민주당,경기 광명시갑,지역구
HSS7466Y,백혜련,白惠蓮,BACK HYERYUN,양,1967-02-17,여,재선,"제20대, 제21대",100020,제20대,더불어민주당,경기 수원시을,지역구
MO52543L,변재일,卞在一,BYUN JAEILL,음,1948-09-02,남,5선,"제17대, 제18대, 제19대, 제20대, 제21대",100020,제20대,더불어민주당,충북 청주시청원구,지역구
FOK3459D,서삼석,徐參錫,SEO SAMSEOK,양,1959-08-03,남,재선,"제20대, 제21대",100020,제20대,더불어민주당,전남 영암군무안군신안군,지역구
TKJ4800F,서영교,徐瑛敎,SEO YOUNGKYO,음,1964-11-11,여,3선,"제19대, 제20대, 제21대",100020,제20대,더불어민주당,서울 중랑구갑,지역구
4Y54669I,서청원,徐淸源,SUH CHUNGWON,양,1943-04-03,남,8선,"제11대, 제13대, 제14대, 제15대, 제16대, 제18대, 제19대, 제20대",100020,제20대,우리공화당,경기 화성시갑,지역구
6N28669V,서형수,徐炯洙,SEO HYUNGSOO,양,1957-04-05,남,초선,제20대,100020,제20대,더불어민주당,경남 양산시을,지역구
OW53107J,설훈,薛勳,SUL HOON,양,1953-04-23,남,5선,"제15대, 제16대, 제19대, 제20대, 제21대",100020,제20대,더불어민주당,경기 부천시원미구을,지역구
7XY7109I,성일종,成一鍾,SUNG ILJONG,양,1963-03-19,남,재선,"제20대, 제21대",100020,제20대,새누리당,충남 서산시태안군,지역구
ZDR63255,소병훈,蘇秉勳,SO BYUNGHOON,양,1954-06-03,남,재선,"제20대, 제21대",100020,제20대,더불어민주당,경기 광주시갑,지역구
A8O42480,손금주,孫今柱,SON KUMJU,양,1971-07-29,남,초선,제20대,100020,제20대,더불어민주당,전남 나주시화순군,지역구
ZBX31520,손혜원,孫惠園,SOHN HYEWON,음,1955-01-23,여,초선,제20대,100020,제20대,열린민주당,서울 마포구을,지역구
RD42006Y,송갑석,宋甲錫,SONG GABSEOK,양,1966-10-10,남,재선,"제20대, 제21대",100020,제20대,더불어민주당,광주 서구갑,지역구
7BV5480O,송기석,宋基錫,SONG KISEOK,음,1963-10-28,남,초선,제20대,100020,제20대,국민의당,광주 서구갑,지역구
SQ36001H,송기헌,宋基憲,SONG KI HUN,음,1963-10-02,남,재선,"제20대, 제21대",100020,제20대,더불어민주당,강원 원주시을,지역구
CNW5754J,송석준,宋錫俊,SONG SEOGJUN,양,1964-03-10,남,재선,"제20대, 제21대",100020,제20대,새누리당,경기 이천시,지역구
6EN68926,송언석,宋彦錫,SONG EONSEOG,양,1963-05-16,남,재선,"제20대, 제21대",100020,제20대,자유한국당,경북 김천시,지역구
PAO22428,송영길,宋永吉,SONG YOUNGGIL,음,1963-03-21,남,5선,"제16대, 제17대, 제18대, 제20대, 제21대",100020,제20대,더불어민주당,인천 계양구을,지역구
3249208I,송옥주,宋玉珠,SONG OKJOO,음,1965-12-20,여,재선,"제20대, 제21대",100020,제20대,더불어민주당,비례대표,비례대표
1PZ8289D,송희경,宋喜卿,SONG HEEKGYOUNG,양,1964-07-24,여,초선,제20대,100020,제20대,미래한국당,비례대표,비례대표
BN49469V,신경민,辛京珉,SHIN KYOUNGMIN,양,1953-08-19,남,재선,"제19대, 제20대",100020,제20대,더불어민주당,서울 영등포구을,지역구
G1570880,신동근,申東根,,음,1961-12-22,남,재선,"제20대, 제21대",100020,제20대,더불어민주당,인천 서구을,지역구
HE838063,신보라,申普羅,SHIN BORA,양,1983-01-07,여,초선,제20대,100020,제20대,미래통합당,비례대표,비례대표
71M8132V,신상진,申相珍,SHIN SANGJIN,음,1956-06-28,남,4선,"제17대, 제18대, 제19대, 제20대",100020,제20대,미래통합당,경기 성남시중원구,지역구
MTK2954E,신용현,申容賢,SHIN YONGHYEON,양,1961-03-09,여,초선,제20대,100020,제20대,민생당,비례대표,지역구
WYC63862,신창현,申昌賢,SHIN CHANGHYUN,음,1953-06-27,남,초선,제20대,100020,제20대,더불어민주당,경기 의왕시과천시,지역구
9414335X,심기준,沈基俊,SHIM KIJOON,양,1961-10-19,남,초선,제20대,100020,제20대,더불어민주당,비례대표,비례대표
SU53086M,심상정,沈相정,SIM SANGJEUNG,양,1959-02-20,여,4선,"제17대, 제19대, 제20대, 제21대",100020,제20대,정의당,경기 고양시갑,지역구
VXQ28579,심재권,沈載權,SHIM JAEKWON,양,1946-08-15,남,3선,"제16대, 제19대, 제20대",100020,제20대,더불어민주당,서울 강동구을,지역구
FGX4881A,심재철,沈在哲,SHIM JAECHEOL,양,1958-01-18,남,5선,"제16대, 제17대, 제18대, 제19대, 제20대",100020,제20대,미래통합당,경기 안양시동안구을,지역구
TST4507I,안규백,安圭伯,AHN GYUBACK,양,1961-04-29,남,4선,"제18대, 제19대, 제20대, 제21대",100020,제20대,더불어민주당,서울 동대문구갑,지역구
